barcode,manifest_sno,freezer_no,normalized_barcode
ET-OR-ES-AD-AH-018,208.0,,et-or-es-ad-ah-018
ET-SN-SI-YE-YH-53,209.0,,et-sn-si-ye-yh-53
ET-SN-SI-YE-YH-57,210.0,,et-sn-si-ye-yh-57
ET-SN-SI-YE-YH-52,211.0,,et-sn-si-ye-yh-52
ET-SN-SI-YE-YH-94,212.0,,et-sn-si-ye-yh-94
ET-OR-ES-AD-AH-002,213.0,,et-or-es-ad-ah-002
ET-AM-BD-AAH-6,214.0,,et-am-bd-aah-6
ET-OR-ES-AD-AH-013,215.0,,et-or-es-ad-ah-013
ET-OR-ES-AD-AH-019,216.0,,et-or-es-ad-ah-019
ET-SN-SI-YE-YH-65,217.0,,et-sn-si-ye-yh-65
ET-SN-SI-YE-YH-55,218.0,,et-sn-si-ye-yh-55
ET-SN-SI-YE-YH-97,219.0,,et-sn-si-ye-yh-97
ET-SN-SI-YE-YH-67,220.0,,et-sn-si-ye-yh-67
ET-OR-ES-AD-AH-010,221.0,,et-or-es-ad-ah-010
ET-AM-BD-BD-AAH-9,222.0,,et-am-bd-bd-aah-9
ET-OR-ES-AD-AH-011,223.0,,et-or-es-ad-ah-011
ET-OR-ES-AD-AH-002,224.0,,et-or-es-ad-ah-002
ET-SN-SI-YE-YH-97,225.0,,et-sn-si-ye-yh-97
ET-SN-SI-YE-YH-59,226.0,,et-sn-si-ye-yh-59
ET-SN-SI-YE-YH-62,227.0,,et-sn-si-ye-yh-62
ET-SN-SI-YE-YH-67,228.0,,et-sn-si-ye-yh-67
ET-SN-SI-YE-YH-60,229.0,,et-sn-si-ye-yh-60
ET-AM-BD-BD-AHH-10,230.0,,et-am-bd-bd-ahh-10
ET-AM-BD-BD-AHH-17,231.0,,et-am-bd-bd-ahh-17
ET-OR-ES-AD-AH-012,232.0,,et-or-es-ad-ah-012
ET-SN-SI-YE-YH-59,233.0,,et-sn-si-ye-yh-59
ET-SN-SI-YE-YH-54,234.0,,et-sn-si-ye-yh-54
ET-SN-SI-YE-YH-64,235.0,,et-sn-si-ye-yh-64
ET-SN-SI-YE-YH-66,236.0,,et-sn-si-ye-yh-66
ET-SN-SI-YE-YH-99,237.0,,et-sn-si-ye-yh-99
ET-AM-BA-BD-AH-10,238.0,,et-am-ba-bd-ah-10
ET-OR-ES-AD-AH-001,239.0,,et-or-es-ad-ah-001
ET-OR-ES-AD-AH-013,240.0,,et-or-es-ad-ah-013
ET-SN-SI-YE-YH-57,241.0,,et-sn-si-ye-yh-57
ET-SN-SI-YE-YH-99,242.0,,et-sn-si-ye-yh-99
ET-SN-SI-YE-YH-56,243.0,,et-sn-si-ye-yh-56
ET-SN-SI-YE-YH-56,244.0,,et-sn-si-ye-yh-56
ET-SN-SI-YE-YH-54,245.0,,et-sn-si-ye-yh-54
ET-AM-BD-BD-AAH-6,246.0,,et-am-bd-bd-aah-6
ET-OR-ES-AD-AH017,247.0,,et-or-es-ad-ah017
ET-OR-ES-AD-AH015,248.0,,et-or-es-ad-ah015
ET-SN-SI-YE-YH-66,249.0,,et-sn-si-ye-yh-66
ET-SN-SI-YE-YH-52,250.0,,et-sn-si-ye-yh-52
ET-SN-SI-YE-YH-63,251.0,,et-sn-si-ye-yh-63
ET-SN-SI-YE-YH-63,252.0,,et-sn-si-ye-yh-63
ET-SN-SI-YE-YH-62,253.0,,et-sn-si-ye-yh-62
ET-AM-BD-BD-AAH-9,254.0,,et-am-bd-bd-aah-9
ET-OR-ES-AD-AH-003,255.0,,et-or-es-ad-ah-003
ET-BG-AS-AS-AH-02,256.0,,et-bg-as-as-ah-02
ET-SO-GO-GH-72,257.0,,et-so-go-gh-72
ET-SO-GO-GH-74,258.0,,et-so-go-gh-74
ET-SO-GO-GH-74,259.0,,et-so-go-gh-74
ET-SO-GO-GH-56,260.0,,et-so-go-gh-56
ET-SO-GO-GH-96,261.0,,et-so-go-gh-96
ET-SO-GO-GH-46,262.0,,et-so-go-gh-46
ET-SO-GO-GH-44,263.0,,et-so-go-gh-44
ET-SO-GO-GH-97,264.0,,et-so-go-gh-97
ET-SO-GO-GH-79,265.0,,et-so-go-gh-79
ET-SO-GO-GH-79,266.0,,et-so-go-gh-79
ET-SO-GO-GH-76,267.0,,et-so-go-gh-76
ET-SO-GO-GH-42,268.0,,et-so-go-gh-42
ET-SO-GO-GH-83,269.0,,et-so-go-gh-83
ET-SO-GO-GH-48,270.0,,et-so-go-gh-48
ET-SO-GO-GH-82,271.0,,et-so-go-gh-82
ET-SO-GO-GH-90,272.0,,et-so-go-gh-90
ET-SO-GO-GH-67,273.0,,et-so-go-gh-67
ET-SO-GO-GH-77,274.0,,et-so-go-gh-77
ET-SO-GO-GH-78,275.0,,et-so-go-gh-78
ET-SO-GO-GH-51,276.0,,et-so-go-gh-51
ET-SO-GO-GH-41,277.0,,et-so-go-gh-41
ET-SO-GO-GH-57,278.0,,et-so-go-gh-57
ET-SO-GO-GH-84,279.0,,et-so-go-gh-84
ET-SO-GO-GH-60,280.0,,et-so-go-gh-60
ET-SO-GO-GH-70,281.0,,et-so-go-gh-70
ET-SO-GO-GH-71,282.0,,et-so-go-gh-71
ET-SO-GO-GH-62,283.0,,et-so-go-gh-62
ET-SO-GO-GH-47,284.0,,et-so-go-gh-47
ET-SO-GO-GH-58,285.0,,et-so-go-gh-58
ET-SO-GO-GH-87,286.0,,et-so-go-gh-87
ET-SO-GO-GH-99,287.0,,et-so-go-gh-99
ET-SO-GO-GH-85,288.0,,et-so-go-gh-85
ET-SO-GO-GH-63,289.0,,et-so-go-gh-63
ET-SO-GO-GH-63,290.0,,et-so-go-gh-63
ET-SO-GO-GH-72,291.0,,et-so-go-gh-72
ET-SO-GO-GH-85,292.0,,et-so-go-gh-85
ET-SO-GO-GH-55,293.0,,et-so-go-gh-55
ET-SO-GO-GH-53,294.0,,et-so-go-gh-53
ET-SO-GO-GH-52,295.0,,et-so-go-gh-52
ET-SO-GO-GH-98,296.0,,et-so-go-gh-98
ET-SN-GG-AM-AH-9,297.0,,et-sn-gg-am-ah-9
ET-SO-GO-GH-68,298.0,,et-so-go-gh-68
ET-SO-GO-GH-61,299.0,,et-so-go-gh-61
ET-SO-GO-GH-100,300.0,,et-so-go-gh-100
ET-SO-GO-GH-91,301.0,,et-so-go-gh-91
ET-SO-GO-GH-59,302.0,,et-so-go-gh-59
ET-SO-GO-GH-50,303.0,,et-so-go-gh-50
ET-SO-GO-GH-54,304.0,,et-so-go-gh-54
ET-SNGG-AM-AH-20,305.0,,et-sngg-am-ah-20
ET-SN-GG-AM-AH-18,306.0,,et-sn-gg-am-ah-18
ET-SO-GO-GH-66,307.0,,et-so-go-gh-66
ET-SO-GO-GH-92,308.0,,et-so-go-gh-92
ET-SO-GO-GH-95,309.0,,et-so-go-gh-95
ET-SO-GO-GH-81,310.0,,et-so-go-gh-81
ET-SO-GO-GH-93,311.0,,et-so-go-gh-93
ET-SO-GO-GH-43,312.0,,et-so-go-gh-43
ET-SN-GG-AM-AH-4,313.0,,et-sn-gg-am-ah-4
ET-SO-GO-GH-65,314.0,,et-so-go-gh-65
ET-SO-GO-GH-69,315.0,,et-so-go-gh-69
ET-SO-GO-GH-69,316.0,,et-so-go-gh-69
ET-SO-GO-GH-49,317.0,,et-so-go-gh-49
ET-SO-GO-GH-94,318.0,,et-so-go-gh-94
ET-SO-GO-GH-45,319.0,,et-so-go-gh-45
ET-SO-GO-GH-88,320.0,,et-so-go-gh-88
ET-AM-BD-BD-AAH-37,321.0,,et-am-bd-bd-aah-37
ET-AM-BD-BD-AAH-53,322.0,,et-am-bd-bd-aah-53
ET-AM-BD-BD-AAH-39,323.0,,et-am-bd-bd-aah-39
ET-AM-BD-BD-AAH-54,324.0,,et-am-bd-bd-aah-54
ET-AM-BD-BD-AAH-52,325.0,,et-am-bd-bd-aah-52
ET-AM-BD-BD-AAH-61,326.0,,et-am-bd-bd-aah-61
ET-AM-BD-BD-AAH-38,327.0,,et-am-bd-bd-aah-38
ET-AM-BD-BD-AAH-48,328.0,,et-am-bd-bd-aah-48
ET-AM-BD-BD-AAH-37,329.0,,et-am-bd-bd-aah-37
ET-AM-BD-BD-AAH-40,330.0,,et-am-bd-bd-aah-40
ET-AM-BD-BD-AAH-43,331.0,,et-am-bd-bd-aah-43
ET-AM-BD-BD-AAH-60,332.0,,et-am-bd-bd-aah-60
ET-AM-BD-BD-AAH-39,333.0,,et-am-bd-bd-aah-39
ET-AM-BD-BD-AAH-59,334.0,,et-am-bd-bd-aah-59
ET-AM-BD-BD-AAH-56,335.0,,et-am-bd-bd-aah-56
ET-AM-BD-BD-AAH-46,336.0,,et-am-bd-bd-aah-46
ET-AM-BD-BD-AAH-50,337.0,,et-am-bd-bd-aah-50
ET-AM-BD-BD-AAH-40,338.0,,et-am-bd-bd-aah-40
ET-AM-BD-BD-AAH-47,339.0,,et-am-bd-bd-aah-47
ET-AM-BD-BD-AAH-49,340.0,,et-am-bd-bd-aah-49
ET-AM-BD-BD-AAH-41,341.0,,et-am-bd-bd-aah-41
ET-AM-BD-BD-AAH-56,342.0,,et-am-bd-bd-aah-56
ET-AM-BD-BD-AAH-43,343.0,,et-am-bd-bd-aah-43
ET-AM-BD-BD-AAH-55,344.0,,et-am-bd-bd-aah-55
ET-AM-BD-BD-AAH-46,345.0,,et-am-bd-bd-aah-46
ET-AM-BD-BD-AAH-51,346.0,,et-am-bd-bd-aah-51
ET-AM-BD-BD-AAH-52,347.0,,et-am-bd-bd-aah-52
ET-AM-BD-BD-AAH-55,348.0,,et-am-bd-bd-aah-55
ET-AM-BD-BD-AAH-42,349.0,,et-am-bd-bd-aah-42
ET-AM-BD-BD-AAH-50,350.0,,et-am-bd-bd-aah-50
ET-AM-BD-BD-AAH-44,351.0,,et-am-bd-bd-aah-44
ET-AM-BD-BD-AAH-53,352.0,,et-am-bd-bd-aah-53
ET-AM-BD-BD-AAH-38,353.0,,et-am-bd-bd-aah-38
ET-AM-BD-BD-AAH-41,354.0,,et-am-bd-bd-aah-41
ET-AM-BD-BD-AAH-48,355.0,,et-am-bd-bd-aah-48
ET-AM-BD-BD-AAH-51,356.0,,et-am-bd-bd-aah-51
