barcode,manifest_sno
ET-AF-ZN3-AK-A7HC-4,1220
ET-AF-ZN3-AK-A7HC-2,1221
ET-OR-GU-AT-ADH-12,1226
ET-AM-NS-DB-DBN-3,1227
ET-AFZN3-AK-A7HC-1,1228
ET-AFZN3-AK-A7HC-6,1229
ET-OR-GU-AT-ADH-4,1233
ET-OR-GU-AT-ADH-8,1234
ET-AF-Z3-AK-A7HC-4,1236
ET-AA-KK-W10-HC-1,1239
ET-AA-YE-Y12H-39,1240
ET-OR-GU-AT-ADH-18,1243
ET-AA-YE-Y12H-52,1246
ET-AA-KK-W10-HC-2,1247
ET-OR-GU-AT-ADH-2,1249
ET-OR-GU-AT-ADH-13,1251
ET-AF-Z3-AK-A7HC-5,1252
ET-AA-YE-Y12H-57,1254
ET-AA-KK-W10-KHC-2,1255
ET-AM-NS-SR-SRHC-10,1259
